group_label,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid
Black_Male_Lawyer,"[0.587481656356087, 0.6410824508985423, 0.6760833530252677, 0.7337470205673811, 0.7822993285514457]","[0.5815690487089639, 0.6390548091885478, 0.6526989976688579, 0.7068040310868497, 0.7158159918147483]","[-0.0059126076471230915, -0.0020276417099944766, -0.023384355356409814, -0.02694298948053131, -0.06648333673669737]",23,23
Black_Male_Mechanic,"[0.7036257910000111, 0.7077508320652146, 0.7238535350289791, 0.7475628219312339, 0.7342830362241103]","[0.6947172794575832, 0.6942255303484052, 0.6885614277915304, 0.717175095419688, 0.7697948852946281]","[-0.008908511542427888, -0.013525301716809435, -0.03529210723744869, -0.030387726511545865, 0.035511849070517854]",23,23
Black_Male_Nurse,"[0.9624267285524344, 0.9637271648069725, 0.9501125922867087, 0.9422831833669861, 0.8665576744587002]","[0.9281150622153003, 0.9610204732033207, 0.9505827201049091, 0.9179070121859076, 0.8206493209987596]","[-0.03431166633713412, -0.0027066916036517785, 0.0004701278182003277, -0.024376171181078488, -0.0459083534599406]",23,23
Black_Male_Teacher,"[0.9227262286332506, 0.943569260312824, 0.9671391488506325, 0.9747019419320818, 0.9878276897994617]","[0.9170887502310126, 0.9228671027136168, 0.9432624519233315, 0.9694692959625644, 0.9873325723030004]","[-0.00563747840223805, -0.020702157599207127, -0.02387669692730099, -0.0052326459695174465, -0.0004951174964612504]",23,23
Hispanic_Female_Accountant,"[0.5381078138094281, 0.5387720039653322, 0.5014525341793303, 0.5747541057685068, 0.6275403294438978]","[0.5925796969119564, 0.5796069133615395, 0.5608331067057608, 0.6171889191877692, 0.7595191011882589]","[0.05447188310252837, 0.040834909396207264, 0.059380572526430475, 0.04243481341926236, 0.13197877174436112]",23,23
Hispanic_Female_CEO,"[0.6278120922322413, 0.6007471086896254, 0.6563166698496884, 0.8027275647703146, 0.9253981683643713]","[0.6790931322756046, 0.6019536045164621, 0.6731196735590838, 0.8208438290162604, 0.9324454717556144]","[0.05128104004336331, 0.0012064958268366288, 0.01680300370939536, 0.018116264245945812, 0.007047303391243154]",23,23
Hispanic_Female_Cashier,"[0.6006033755360952, 0.6152377125626943, 0.5930533213379371, 0.5980907593015682, 0.5814320322409331]","[0.612245267642874, 0.6145375267230166, 0.5593941989176586, 0.5734456289492683, 0.5436602675823458]","[0.011641892106778795, -0.0007001858396776806, -0.033659122420278464, -0.02464513035229987, -0.03777176465858734]",23,23
Hispanic_Female_Cleaner,"[0.6249819067818864, 0.6255536866595751, 0.6181479279335802, 0.6640279577468902, 0.7172203964333064]","[0.6083020932919175, 0.6118479109984267, 0.6188537477079745, 0.6464441826909195, 0.7589961655598426]","[-0.01667981348996883, -0.01370577566114839, 0.0007058197743943229, -0.01758377505597064, 0.041775769126536244]",23,23
