group_label,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid
White_Female_Teacher,"[0.29425744843631935, 0.3174091066526149, 0.408932132071313, 0.6258946625557261, 0.6899318351263729]","[0.3201385402770618, 0.3295009471347031, 0.4862683507516221, 0.6616162434704406, 0.7236838749363786]","[0.025881091840742443, 0.012091840482088223, 0.0773362186803091, 0.035721580914714446, 0.03375203981000574]",23,23
White_Male_Accountant,"[0.8737975734555213, 0.9115454415007586, 0.9339648142143012, 0.9405901713679583, 0.9705212152070238]","[0.8341578619734812, 0.9179047191672906, 0.8639935150160639, 0.9175107561770733, 0.9384428330285353]","[-0.03963971148204015, 0.006359277666531993, -0.0699712991982373, -0.023079415190884967, -0.032078382178488574]",23,23
White_Male_CEO,"[0.627024504190786, 0.6446858840334267, 0.7492726938817944, 0.8707747157170381, 0.869111668900959]","[0.6639355082653778, 0.6958851509181833, 0.8216441156894719, 0.9382165741088225, 0.9291210179549803]","[0.0369110040745918, 0.05119926688475651, 0.07237142180767753, 0.0674418583917844, 0.06000934905402122]",23,23
White_Male_Cashier,"[0.6383292976016224, 0.6841213675089375, 0.6678764833676787, 0.6790250935151244, 0.6596766626197407]","[0.6448436817887686, 0.6830033758088276, 0.6825981375333051, 0.64921096053244, 0.6485079383966713]","[0.006514384187146227, -0.0011179917001098438, 0.01472165416562643, -0.029814132982684427, -0.01116872422306936]",23,23
White_Male_Cleaner,"[0.6857004978103194, 0.7190568645896399, 0.7047783897531678, 0.7586546040472922, 0.7463120296488638]","[0.6616861829083917, 0.6974696669120115, 0.723302546449176, 0.7443892937258596, 0.7201602167894466]","[-0.024014314901927736, -0.0215871976776284, 0.018524156696008265, -0.014265310321432634, -0.026151812859417145]",23,23
White_Male_Doctor,"[0.4124854924278938, 0.5304254120037075, 0.6205926131114013, 0.8680331571487594, 0.9352887192063054]","[0.29605762130812135, 0.3979809981108072, 0.5629827961534323, 0.7907308898822526, 0.9102742112884412]","[-0.11642787111977243, -0.1324444138929003, -0.05760981695796907, -0.0773022672665068, -0.025014507917864193]",23,23
White_Male_Lawyer,"[0.30266193811509184, 0.3685852021236939, 0.447552241187372, 0.5490337587544695, 0.6047629274661351]","[0.30065382952009095, 0.32817678939243405, 0.3966543693170801, 0.538884258468769, 0.5909397749406394]","[-0.0020081085950008903, -0.040408412731259835, -0.05089787187029193, -0.010149500285700497, -0.013823152525495708]",23,23
White_Male_Mechanic,"[0.8754796857704541, 0.8764984179037048, 0.9259369184442833, 0.9482539604807951, 0.9728404922900442]","[0.8730218229286355, 0.8879812505172713, 0.9112029982961443, 0.949086739038056, 0.961909774501462]","[-0.002457862841818592, 0.01148283261356653, -0.014733920148139013, 0.0008327785572608271, -0.010930717788582234]",23,23
