group_label,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid
Black_Female_Mechanic,"[0.8046926158619871, 0.7838298133435507, 0.7582078736401199, 0.7941566193470762, 0.7854746954525197]","[0.7946865524351563, 0.7973505315477737, 0.8023377644592518, 0.8281131920576634, 0.8147417821655495]","[-0.010006063426830858, 0.013520718204222959, 0.04412989081913188, 0.033956572710587274, 0.0292670867130298]",23,23
Black_Female_Nurse,"[0.7922944566920692, 0.8373185126928837, 0.8343752011771517, 0.7752577968122634, 0.731497895467507]","[0.7567771050185127, 0.793456624939825, 0.7545302518350461, 0.7357210903426986, 0.6480988786639997]","[-0.03551735167355652, -0.04386188775305866, -0.07984494934210562, -0.03953670646956475, -0.08339901680350725]",23,23
Black_Female_Teacher,"[0.6631602721862335, 0.6630163799867258, 0.7056163892255642, 0.8151164130223801, 0.8619071852330863]","[0.6463131383150729, 0.6412849142138707, 0.6742222448525393, 0.7745204631075715, 0.8640765251817335]","[-0.016847133871160658, -0.02173146577285512, -0.0313941443730249, -0.04059594991480864, 0.0021693399486472087]",23,23
Black_Male_Accountant,"[0.8300501267615014, 0.8381542966461946, 0.8109400380598804, 0.8242761166475053, 0.825020800620356]","[0.7956906539827666, 0.8062376549388496, 0.770731032324806, 0.7832327501437865, 0.7810370009089528]","[-0.034359472778734745, -0.031916641707344984, -0.040209005735074355, -0.04104336650371887, -0.043983799711403204]",23,23
Black_Male_CEO,"[0.7188623868057327, 0.7995108750859048, 0.8451972954306401, 0.9064327458342779, 0.9205921578585916]","[0.7328429878072165, 0.8138933058289848, 0.8624168586884968, 0.9246818604575763, 0.9375691133363308]","[0.013980601001483794, 0.014382430743079988, 0.017219563257856674, 0.018249114623298368, 0.016976955477739142]",23,23
Black_Male_Cashier,"[0.6311302892145649, 0.6492696974657802, 0.6372319195247933, 0.6187514410638699, 0.6070353137731377]","[0.6207079389717376, 0.6553138900439599, 0.6353806475617736, 0.6003953946846528, 0.5792749363253151]","[-0.010422350242827338, 0.006044192578179675, -0.0018512719630197072, -0.018356046379217172, -0.02776037744782256]",23,23
Black_Male_Cleaner,"[0.6836609106227727, 0.6979817211086995, 0.6977440705245977, 0.7108415976976465, 0.6850877603110551]","[0.6673270822259993, 0.6760005909264973, 0.6852429941497838, 0.7185403578523142, 0.7057400647014564]","[-0.01633382839677333, -0.021981130182202158, -0.012501076374813902, 0.007698760154667639, 0.020652304390401333]",23,23
Black_Male_Doctor,"[0.7852284148016959, 0.7928576536535744, 0.8229782872925313, 0.8817353022538598, 0.915890153484314]","[0.7104753437133574, 0.7798592143512767, 0.7926389682312284, 0.8348989591725522, 0.922086319829995]","[-0.07475307108833851, -0.012998439302297715, -0.03033931906130294, -0.046836343081307574, 0.006196166345680987]",23,23
