group_label,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid
Hispanic_Female_Doctor,"[0.31588268883136883, 0.2816174824422642, 0.349106028926315, 0.4895048085282859, 0.7107206348737477]","[0.22803476810222706, 0.23491972037911416, 0.29183500609927465, 0.44412333628024764, 0.6834918865286645]","[-0.08784792072914177, -0.046697762063150045, -0.05727102282704033, -0.045381472248038235, -0.027228748345083154]",23,23
Hispanic_Female_Lawyer,"[0.36992992501546673, 0.3691921079293395, 0.39225578727093846, 0.4934990616295089, 0.6004526354156726]","[0.3823406673119679, 0.3467805593297331, 0.38212710487858914, 0.48357208766966864, 0.604209208230678]","[0.012410742296501187, -0.022411548599606368, -0.01012868239234932, -0.009926973959840268, 0.00375657281500541]",23,23
Hispanic_Female_Mechanic,"[0.6733433179177897, 0.6675830491193238, 0.6901585669153857, 0.7058923901360916, 0.7758976894588185]","[0.7346970679725946, 0.6690588197207181, 0.7093547477995091, 0.7748949789709698, 0.8681986265667377]","[0.06135375005480492, 0.0014757706013943661, 0.019196180884123448, 0.0690025888348782, 0.0923009371079192]",23,23
Hispanic_Female_Nurse,"[0.21059768063354345, 0.26099718143693945, 0.2595284513135052, 0.2759951959717816, 0.3111152068138848]","[0.26813168113661373, 0.3166169458443237, 0.3175670321290994, 0.3305287284733448, 0.37657747560877425]","[0.05753400050307028, 0.05561976440738425, 0.05803858081559421, 0.054533532501563176, 0.06546226879488942]",23,23
Hispanic_Female_Teacher,"[0.6538911487705468, 0.6647615895567736, 0.6701328677378032, 0.7914618531096275, 0.8626130895126413]","[0.6610435128138848, 0.631404301759841, 0.6224876769332327, 0.7354806821620958, 0.8421686036954167]","[0.0071523640433380775, -0.03335728779693259, -0.047645190804570525, -0.05598117094753163, -0.020444485817224578]",23,23
Hispanic_Male_Accountant,"[0.9159825361844246, 0.8929271919443837, 0.8897624855583761, 0.8544006239636793, 0.7920103746233621]","[0.9277943543510743, 0.9052335408529169, 0.8268866816763586, 0.8686286895642341, 0.8452735505655058]","[0.011811818166649668, 0.012306348908533105, -0.06287580388201752, 0.014228065600554785, 0.05326317594214369]",23,23
Hispanic_Male_CEO,"[0.5063559684995016, 0.48882843100819257, 0.5243738713488554, 0.6704108421098404, 0.7752936798849188]","[0.5390172090769637, 0.5110046161663283, 0.5627967171104703, 0.6637104017688198, 0.7830334619246763]","[0.032661240577462114, 0.02217618515813574, 0.03842284576161492, -0.006700440341020575, 0.007739782039757448]",23,23
Hispanic_Male_Cashier,"[0.6164081597128075, 0.645839538194328, 0.6151389823444384, 0.6201917509734877, 0.6011117976508729]","[0.6315160672859085, 0.6323230044490632, 0.5866010982529452, 0.6117002751969429, 0.5999627962501441]","[0.015107907573100987, -0.013516533745264847, -0.02853788409149327, -0.008491475776544744, -0.0011490014007287108]",23,23
