group_label,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid
Asian_Male_Nurse,"[0.8876381366441264, 0.923568234109626, 0.9332217317288497, 0.8209914777246621, 0.6537659352195475]","[0.8941499324720106, 0.9412612880750778, 0.8936921960711295, 0.7810808770025449, 0.6406966213653805]","[0.0065117958278841925, 0.017693053965451844, -0.039529535657720216, -0.03991060072211716, -0.013069313854166986]",23,23
Asian_Male_Teacher,"[0.889538036220873, 0.9091845997882679, 0.9287163937041719, 0.9672027070045083, 0.96192709462233]","[0.8852026010881527, 0.908231082292997, 0.915207767999463, 0.9465868574780009, 0.9530004047852987]","[-0.004335435132720278, -0.0009535174952709502, -0.013508625704708899, -0.020615849526507413, -0.008926689837031265]",23,23
Black_Female_Accountant,"[0.810170384055358, 0.8046458464122164, 0.7921230995206787, 0.7972742652684606, 0.8546235519374398]","[0.7999724536427266, 0.8294150481450084, 0.8174028593973574, 0.8119776844395786, 0.803445851916607]","[-0.010197930412631395, 0.024769201732792068, 0.02527975987667863, 0.01470341917111806, -0.05117770002083277]",23,23
Black_Female_CEO,"[0.7318774425191057, 0.7404726645976174, 0.7721570800362577, 0.8836096543256992, 0.96106651659496]","[0.765584101713386, 0.7372447168251127, 0.8335463245681796, 0.9372812510482255, 0.9484865338747556]","[0.033706659194280286, -0.00322794777250468, 0.06138924453192185, 0.053671596722526305, -0.012579982720204441]",23,23
Black_Female_Cashier,"[0.6247495366627228, 0.6202968619410999, 0.6239850552724395, 0.5879669791218142, 0.5812395556871957]","[0.6044207258615909, 0.5963920594189202, 0.5767744273594668, 0.576760289208919, 0.5316878678444378]","[-0.020328810801131914, -0.023904802522179747, -0.0472106279129727, -0.011206689912895196, -0.049551687842757874]",23,23
Black_Female_Cleaner,"[0.6467182965518211, 0.6426320503363603, 0.6516126688052549, 0.643011904430127, 0.6469747129907808]","[0.6223883193158851, 0.6500787427883545, 0.6528493735692015, 0.6287357100010147, 0.5928997260799408]","[-0.024329977235935996, 0.007446692451994252, 0.00123670476394655, -0.014276194429112321, -0.054074986910840006]",23,23
Black_Female_Doctor,"[0.7457091359693951, 0.7030208624934274, 0.759519024522439, 0.8587503198168527, 0.9386878447500269]","[0.5845096020792787, 0.5805491188130721, 0.6695442150440739, 0.7551148072741369, 0.8382070438690628]","[-0.16119953389011643, -0.1224717436803553, -0.08997480947836511, -0.10363551254271575, -0.10048080088096412]",23,23
Black_Female_Lawyer,"[0.5754082969609332, 0.5459073217636021, 0.5487195002340789, 0.647160616320272, 0.7154919168289594]","[0.5391363773489729, 0.5306058784674534, 0.5997769439709784, 0.6761983701982193, 0.6968532626120362]","[-0.0362719196119603, -0.015301443296148687, 0.051057443736899466, 0.02903775387794727, -0.018638654216923234]",23,23
