group_label,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid
Asian_Female_Accountant,"[0.4889761264865934, 0.49981241531175585, 0.5525925839564724, 0.5830023532878862, 0.5865736850546286]","[0.41883060406879064, 0.49423268787792096, 0.539302332176332, 0.5696609561602071, 0.5659550549972232]","[-0.07014552241780275, -0.005579727433834891, -0.013290251780140316, -0.013341397127679122, -0.020618630057405385]",23,23
Asian_Female_CEO,"[0.0, 0.0019364815783653746, 0.03212338815528771, 0.08340699247041906, 0.12337870461042715]","[0.0, 0.024281922830085022, 0.053677577187051406, 0.15332202593213645, 0.19813809959685605]","[0.0, 0.02234544125171965, 0.021554189031763697, 0.06991503346171739, 0.0747593949864289]",23,23
Asian_Female_Cashier,"[0.48797413025619285, 0.5891676883524251, 0.7035613773707022, 0.7325947938307938, 0.695554562234443]","[0.5024078684409912, 0.5751860363783095, 0.6936548254987038, 0.6939933210897367, 0.6701291819621453]","[0.014433738184798317, -0.013981651974115605, -0.009906551871998404, -0.038601472741057186, -0.025425380272297682]",23,23
Asian_Female_Cleaner,"[0.9875433730346771, 0.9917591831754272, 1.0, 1.0, 1.0]","[0.9310536549959395, 0.9362941116924618, 0.9919427214394859, 0.9968927073188703, 1.0]","[-0.05648971803873759, -0.05546507148296542, -0.00805727856051408, -0.0031072926811297474, 0.0]",23,23
Asian_Female_Doctor,"[0.22369481729019922, 0.3331284672893769, 0.43282684693396967, 0.5140991988573028, 0.5335060941600854]","[0.20526706346048743, 0.3180212997888655, 0.49538648962023407, 0.5042943158872574, 0.567963665722513]","[-0.01842775382971179, -0.015107167500511387, 0.0625596426862644, -0.009804882970045448, 0.03445757156242757]",23,23
Asian_Female_Lawyer,"[0.5218892181691602, 0.5626006824296071, 0.7064272245927876, 0.8333798340575522, 0.8829370152951121]","[0.4758671924022264, 0.5023257197888158, 0.5854913879831535, 0.7065421248403486, 0.8045275057524475]","[-0.046022025766933816, -0.06027496264079135, -0.12093583660963414, -0.1268377092172036, -0.07840950954266468]",23,23
Asian_Female_Mechanic,"[0.5336364722045378, 0.5680846372531553, 0.6516878819940221, 0.6755841318567664, 0.6537537569422265]","[0.5341531083172792, 0.5658485347014155, 0.6386271827386827, 0.678342707438437, 0.6582873536514617]","[0.0005166361127414421, -0.0022361025517397826, -0.01306069925533937, 0.002758575581670697, 0.004533596709235255]",23,23
Asian_Female_Nurse,"[0.3068331481548553, 0.3008021053150181, 0.26510549783075227, 0.1792374147931982, 0.1621765350367892]","[0.3645982897284837, 0.35629891361476856, 0.29487676908999977, 0.3094658683784945, 0.2201754493546966]","[0.05776514157362839, 0.055496808299750455, 0.0297712712592475, 0.13022845358529628, 0.05799891431790741]",23,23
