group_label,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid
Native American_Male_CEO,"[0.11565002139392172, 0.1529386568661809, 0.15159609840570562, 0.13568569651401155, 0.0835461494619745]","[0.13831260997788347, 0.1888610693998867, 0.20550448602482235, 0.17603622557988233, 0.0595705520420833]","[0.02266258858396175, 0.03592241253370579, 0.05390838761911673, 0.04035052906587078, -0.0239755974198912]",23,23
Native American_Male_Cashier,"[0.48071581220814424, 0.5067836840804278, 0.5601392359866892, 0.6003800682678101, 0.6631803146144106]","[0.492977634037749, 0.4997148063409071, 0.5581761934526379, 0.5807188898770251, 0.6201951535224187]","[0.01226182182960478, -0.007068877739520751, -0.001963042534051329, -0.01966117839078496, -0.04298516109199191]",23,23
Native American_Male_Cleaner,"[0.8226558186615627, 0.8445326406895682, 0.900457008021458, 0.9136028209334657, 0.9687853470230318]","[0.7933941094972411, 0.8262804875379027, 0.875284335780448, 0.9215423187622259, 0.9391249758404498]","[-0.02926170916432158, -0.018252153151665507, -0.025172672241010052, 0.007939497828760245, -0.029660371182581913]",23,23
Native American_Male_Doctor,"[0.04755791712983047, 0.05930121855978858, 0.07494590624434085, 0.053358192149740885, 0.05879825954487893]","[0.050541052252425535, 0.07979066509580375, 0.1191028825875511, 0.13561626965206963, 0.11056769007084713]","[0.002983135122595064, 0.02048944653601517, 0.04415697634321025, 0.08225807750232875, 0.0517694305259682]",23,23
Native American_Male_Lawyer,"[0.20138316035291443, 0.22872332607469675, 0.2751799701624647, 0.31800970273916573, 0.3122673065240893]","[0.19146263198653726, 0.2340408917757053, 0.2599356225146599, 0.3060647747971476, 0.3175086791374525]","[-0.009920528366377163, 0.005317565701008553, -0.015244347647804801, -0.011944927942018124, 0.0052413726133632155]",23,23
Native American_Male_Mechanic,"[0.7104380976693664, 0.7271990356542213, 0.8005628053105515, 0.8379444438686554, 0.8605025550017037]","[0.7101139977974562, 0.7060769111482373, 0.764459425624706, 0.8096747669207318, 0.8420396247921926]","[-0.0003240998719101773, -0.02112212450598394, -0.03610337968584543, -0.028269676947923594, -0.018462930209511064]",23,23
Native American_Male_Nurse,"[0.16950177709326492, 0.17007145106206892, 0.1604674724900048, 0.15453487814454783, 0.13498036017897788]","[0.19837776118431205, 0.20789290153314482, 0.21152194535925375, 0.19624628058300353, 0.14864087798644654]","[0.028875984091047135, 0.03782145047107591, 0.05105447286924897, 0.0417114024384557, 0.013660517807468658]",23,23
Native American_Male_Teacher,"[0.34747270728447344, 0.3460648662248238, 0.36828598503405496, 0.3245760440821073, 0.2874726749593168]","[0.35389074008807936, 0.4213156077371732, 0.4251089672346418, 0.43510913349987784, 0.33659977746750486]","[0.006418032803605922, 0.0752507415123494, 0.05682298220058685, 0.11053308941777057, 0.04912710250818808]",23,23
