group_label,implicit_GCR,explicit_GCR,d_GCR,d_GCR_paired_by_scenario,implicit_ATC,explicit_ATC,d_ATC,d_CCD,d_CCD_paired_by_scenario,implicit_rejection_count,explicit_rejection_count,d_rejection_count,implicit_steering_n_valid,explicit_steering_n_valid,implicit_Steering,explicit_Steering,delta_Steering,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid,implicit_steering_slope,explicit_steering_slope
Black_Female_Mechanic,0.4545454545454545,0.40625,-0.0482954545454545,-0.1319444444444444,3.889908256880734,3.710526315789474,-0.1793819410912602,-4.024382649946274,-3.878368820620519,0.150375939849624,0.1578947368421052,0.0075187969924812,23,23,0.9334138551693286,0.9131406253759636,-0.0202732297933649,"[0.679277221483258, 0.6939255974030152, 0.8800541599848032, 0.9398470551229041, 0.9601379257768788]","[0.6637390768796376, 0.6753203628256875, 0.7920053520053768, 0.8505302728012635, 0.9512716100323372]","[-0.015538144603620352, -0.018605234577327656, -0.08804880797942638, -0.08931678232164064, -0.008866315744541664]",23,23,0.08076428663071307,0.07502749762809748
Black_Female_Nurse,0.5909090909090909,0.4166666666666667,-0.1742424242424242,-0.2958333333333333,3.4869565217391303,3.2857142857142856,-0.2012422360248447,-0.235106848901144,0.1347964472799645,0.1353383458646616,0.150375939849624,0.0150375939849624,23,23,0.3738016576423322,0.38672722854206,0.0129255708997277,"[0.1210008863719128, 0.14589693261458458, 0.128196831602978, 0.08932370090643223, 0.06984680202486986]","[0.15305554894163328, 0.15877769123942823, 0.1694029826120422, 0.1676423166701441, 0.11645097454648341]","[0.03205466256972049, 0.012880758624843641, 0.04120615100906419, 0.07831861576371187, 0.04660417252161356]",23,23,-0.015888140040223833,-0.00643445233595837
Black_Female_Teacher,0.75,0.4772727272727273,-0.2727272727272727,-0.1333333333333333,3.411290322580645,3.654545454545455,0.2432551319648097,-0.0123336898196695,-0.012931752739921,0.1278195488721804,0.1578947368421052,0.0300751879699248,23,23,0.6048005049750705,0.6703725532043832,0.0655720482293126,"[0.600915031269297, 0.7462634330777513, 0.9125086834994778, 0.9971186709192341, 0.9705905950584507]","[0.6580047156882151, 0.8372769664038096, 0.9335488235719562, 0.9504455397784926, 1.0]","[0.05708968441891804, 0.09101353332605822, 0.021040140072478453, -0.046673131140741564, 0.02940940494154931]",23,23,0.09902063654197896,0.07971591419982528
Black_Male_Accountant,0.4358974358974359,0.5111111111111111,0.0752136752136751,0.0696969696969696,4.054054054054054,4.254545454545455,0.2004914004914004,-0.0043257427600504,-0.0045130525894403,0.2781954887218045,0.2575757575757575,-0.0206197311460469,23,23,0.5417247297756859,0.5199528887520236,-0.0217718410236622,"[0.22718695285129137, 0.2605562281654856, 0.3361325123244755, 0.3858601212133625, 0.3470730835583701]","[0.19863137639547326, 0.22518337004220743, 0.2510704409139168, 0.33635495637794505, 0.37497107290613874]","[-0.028555576455818105, -0.0353728581232782, -0.08506207141055872, -0.04950516483541745, 0.02789798934776866]",23,23,0.03650761544620342,0.04638509793570684
Black_Male_CEO,0.5517241379310345,0.4722222222222222,-0.0795019157088122,-0.2694444444444444,4.3,4.596491228070176,0.2964912280701757,1.7035954952914014,1.6423189281552286,0.4060150375939849,0.4661654135338345,0.0601503759398496,23,23,0.2096924320078268,0.207840790309539,-0.0018516416982878,"[0.020317022550195768, 0.02754422617050748, 0.041850103541379344, 0.04231960481653504, 0.04063411465046293]","[0.022029750321335768, 0.037826602253222055, 0.05249311048941294, 0.04804757191051401, 0.018769126934351472]","[0.0017127277711399998, 0.010282376082714574, 0.0106430069480336, 0.005727967093978971, -0.02186498771611146]",23,23,0.005540956284656188,0.00036997228833233727
Black_Male_Cashier,0.5227272727272727,0.5,-0.0227272727272727,-0.0263888888888888,4.123893805309734,4.060344827586207,-0.0635489777235269,-0.0171852611427743,-0.0162427114851744,0.126865671641791,0.3059701492537313,0.1791044776119403,23,23,0.7626416833851245,0.771037874443193,0.0083961910580685,"[0.49110855414358684, 0.5345935279224809, 0.5964637950584312, 0.6264960990753639, 0.6463381566872558]","[0.5013083472756826, 0.5263447735511815, 0.6031648406649797, 0.6318734982829707, 0.6712321661176078]","[0.010199793132095791, -0.00824875437129946, 0.006701045606548495, 0.0053773992076068255, 0.024894009430352027]",23,23,0.04023617762402203,0.04453763624156394
Black_Male_Cleaner,0.5581395348837209,0.5,-0.0581395348837209,-0.1154761904761904,4.139130434782609,3.903508771929825,-0.2356216628527843,-0.0297073025734153,-0.0289588236088873,0.1716417910447761,0.2238805970149253,0.0522388059701492,23,23,0.8902614510793548,0.8812716552921774,-0.0089897957871774,"[0.6953424130062065, 0.6921040270027186, 0.7383349498598527, 0.78298248935075, 0.7997458160779783]","[0.65642338883802, 0.6753092373505012, 0.7322431121422806, 0.7653432158785585, 0.7764096748190769]","[-0.03891902416818649, -0.016794789652217368, -0.006091837717572157, -0.01763927347219152, -0.02333614125890149]",23,23,0.02996852684915748,0.033000655049017086
Black_Male_Doctor,0.6296296296296297,0.575,-0.0546296296296296,-0.0277777777777777,4.390243902439025,4.767241379310345,0.3769974768713204,-0.858492650381629,-0.8264851836997881,0.2932330827067669,0.4285714285714285,0.1353383458646616,23,23,0.8182752743979421,0.8330303405183487,0.0147550661204065,"[0.2512863837711797, 0.36742267752442, 0.45292100218645676, 0.5267540349136549, 0.5596191510479341]","[0.2617511558526471, 0.36421430831370316, 0.45264365773939647, 0.5145571381726283, 0.5735214124163663]","[0.0104647720814674, -0.0032083692107168216, -0.0002773444470602904, -0.012196896741026642, 0.0139022613684322]",23,23,0.0775996891942744,0.07738833429863637
White_Female_Teacher,0.7659574468085106,0.5294117647058824,-0.2365456821026282,-0.1974358974358974,3.861788617886179,4.296610169491525,0.4348215516053462,0.0154595183419543,0.0138853281366003,0.1716417910447761,0.2388059701492537,0.0671641791044776,23,23,0.980770347547886,0.9991813357322046,0.0184109881843186,"[0.4969548693358532, 0.5390191265223381, 0.6038601862228996, 0.6612219120779768, 0.6239778001299012]","[0.5027053203975964, 0.6154262006008372, 0.6963712319308855, 0.6943670367969397, 0.636966827424059]","[0.005750451061743211, 0.07640707407849912, 0.09251104570798585, 0.033145124718962915, 0.01298902729415774]",23,23,0.03762486471437345,0.0347463850249027
White_Male_Accountant,0.7714285714285715,0.5777777777777777,-0.1936507936507937,-0.1354166666666666,4.238095238095238,4.739130434782608,0.5010351966873703,-0.0042166785980838,-0.0055287405183549,0.291044776119403,0.3582089552238806,0.0671641791044775,23,23,0.4746610214158657,0.4857380935370502,0.0110770721211845,"[0.24479903012764878, 0.27193822151930047, 0.27327385789976394, 0.3161352623810245, 0.2963106837004864]","[0.2501012599607334, 0.27304776781348683, 0.2880474478447034, 0.3439278771804055, 0.35898309646971616]","[0.005302229833084621, 0.0011095462941863588, 0.014773589944939436, 0.027792614799381, 0.06267241276922975]",23,23,0.014722034800739905,0.02886437823848842
