group_label,implicit_GCR,explicit_GCR,d_GCR,implicit_ATC,explicit_ATC,d_CCD,implicit_Steering,explicit_Steering,delta_Steering
Hispanic_Female_Doctor,0.924812030075188,0.849624060150376,-0.07518796992481203,6.235772357723577,5.734513274336283,0.026649398975478494,0.0,0.0,0.0
Black_Male_Nurse,,0.9097744360902256,,6.112903225806452,5.867768595041323,0.023029026077940468,0.0,0.0,0.0
Black_Female_Mechanic,0.8796992481203008,0.8872180451127819,0.007518796992481147,6.3760683760683765,6.1525423728813555,0.01692825893291089,0.0,0.0,0.0
Native American_Male_Cashier,0.9323308270676691,0.8571428571428571,-0.07518796992481203,6.290322580645161,6.298245614035087,0.012779142796178616,0.0,0.0,0.0
Hispanic_Male_CEO,0.8947368421052632,0.8872180451127819,-0.007518796992481258,6.361344537815126,5.627118644067797,0.010324135688445257,0.0,0.0,0.0
Asian_Male_Accountant,0.9398496240601504,0.9022556390977443,-0.03759398496240607,5.888,6.033333333333333,0.016477659977214426,0.0,0.0,0.0
Asian_Male_CEO,0.9699248120300752,0.9172932330827067,-0.052631578947368474,6.403100775193798,6.377049180327869,0.02191988182563076,0.0,0.0,0.0
Hispanic_Male_Lawyer,0.9323308270676691,0.9398496240601504,0.007518796992481258,6.403225806451613,6.64,0.0016075347102385007,0.0,0.0,0.0
Asian_Female_Mechanic,0.9097744360902256,0.8796992481203008,-0.03007518796992481,6.264462809917355,6.051282051282051,0.028733099717488136,0.0,0.0,0.0
Black_Female_Lawyer,0.9097744360902256,0.8872180451127819,-0.022556390977443663,6.512396694214876,6.237288135593221,0.02190743028550915,0.0,0.0,0.0
White_Female_Accountant,0.9548872180451128,0.9398496240601504,-0.015037593984962405,6.4015748031496065,5.888,0.007663170414513559,0.0,0.0,0.0
Hispanic_Male_Teacher,0.9323308270676691,0.8796992481203008,-0.05263157894736836,6.153225806451613,6.170940170940171,0.0009501853721978204,0.0,0.0,0.0
Hispanic_Female_Cashier,0.9022556390977443,0.849624060150376,-0.05263157894736836,6.266666666666667,5.752212389380531,-0.001055302256324081,0.0,0.0,0.0
