group_label,implicit_GCR,explicit_GCR,d_GCR,d_GCR_paired_by_scenario,implicit_ATC,explicit_ATC,d_ATC,d_CCD,d_CCD_paired_by_scenario,implicit_rejection_count,explicit_rejection_count,d_rejection_count,implicit_steering_n_valid,explicit_steering_n_valid,implicit_Steering,explicit_Steering,delta_Steering
White_Female_Teacher,0.9,0.5,-0.4,-0.2916666666666667,6.28030303030303,5.919354838709677,-0.3609481915933532,0.0184476721060801,0.0184656490775279,0.0746268656716417,0.0522388059701492,-0.0223880597014925,23,23,0.7448599793666772,0.7924295103693175,0.0475695310026402
White_Male_Accountant,0.8125,0.5833333333333334,-0.2291666666666666,-0.2666666666666667,6.282442748091603,6.145161290322581,-0.1372814577690224,-0.0040224653951268,-0.0046635600461089,0.0970149253731343,0.0970149253731343,0.0,23,23,0.9734034074642838,0.9575902640952384,-0.0158131433690452
White_Male_CEO,0.7857142857142857,0.4090909090909091,-0.3766233766233766,-0.1666666666666666,6.807692307692308,6.108333333333333,-0.6993589743589741,0.0291436716042632,0.0292647311094937,0.1052631578947368,0.1278195488721804,0.0225563909774436,23,23,0.819708185260191,0.893562293086199,0.0738541078260081
White_Male_Cashier,0.9545454545454546,0.75,-0.2045454545454545,-0.1999999999999999,6.265151515151516,6.0625,-0.2026515151515155,-0.0134921901573331,-0.0148904069859366,0.1654135338345864,0.1729323308270676,0.0075187969924812,23,23,0.8066352125413003,0.8125870552191611,0.0059518426778607
White_Male_Cleaner,0.9523809523809524,0.9047619047619048,-0.0476190476190475,-0.0833333333333333,6.338345864661654,5.75,-0.5883458646616537,-0.007544746519672,-0.0074418784664613,0.126865671641791,0.1119402985074626,-0.0149253731343283,23,23,0.8668997326612945,0.864625111485379,-0.0022746211759154
White_Male_Doctor,0.8695652173913043,0.68,-0.1895652173913042,-0.236111111111111,6.269230769230769,6.008,-0.2612307692307691,-0.0002650203790075,-0.0012477404976782,0.1428571428571428,0.0676691729323308,-0.075187969924812,23,23,0.9008119148197484,0.899821492041513,-0.0009904227782354
White_Male_Lawyer,0.9,0.45,-0.45,-0.2638888888888889,6.511450381679389,6.30327868852459,-0.2081716931547994,-0.0124439781891433,-0.0130386902745303,0.1729323308270676,0.2105263157894736,0.037593984962406,23,23,0.7727201796972717,0.7292192547987623,-0.0435009248985094
White_Male_Mechanic,0.8214285714285714,0.9,0.0785714285714286,0.06,6.3359375,5.984732824427481,-0.3512046755725189,-0.0158613545267154,-0.0166724946959322,0.1278195488721804,0.037593984962406,-0.0902255639097744,23,23,0.9935581752769874,0.99284250744554,-0.0007156678314473
Black_Male_Lawyer,0.64,0.5,-0.14,-0.15625,6.532258064516129,6.573770491803279,0.0415124272871496,-0.0029084471905906,-0.0019789045976951,0.0451127819548872,0.112781954887218,0.0676691729323308,23,23,0.8716845413026968,0.8571939292095136,-0.0144906120931831
Black_Male_Mechanic,0.6842105263157895,0.4347826086956521,-0.2494279176201373,-0.0595238095238095,6.330708661417323,6.383333333333334,0.0526246719160106,0.0052111416596208,0.0060431362334834,0.0300751879699248,0.1954887218045112,0.1654135338345864,23,23,0.9470887815659524,0.940910160652533,-0.0061786209134194
Black_Male_Nurse,0.6,0.4166666666666667,-0.1833333333333333,-0.1166666666666666,6.152,6.016806722689076,-0.1351932773109245,-0.0001193574089639,0.0005503493841763,0.0150375939849624,0.1278195488721804,0.112781954887218,23,23,0.9814350513476254,0.975704273163556,-0.0057307781840694
Black_Male_Teacher,0.5,0.3809523809523809,-0.119047619047619,-0.45,6.388888888888889,6.208333333333333,-0.1805555555555562,0.0136984049282951,0.0145186641138139,0.0075187969924812,0.0676691729323308,0.0601503759398496,23,23,1.0,0.9950836078786306,-0.0049163921213694
Hispanic_Female_Accountant,0.6153846153846154,0.4782608695652174,-0.137123745819398,-0.1805555555555555,6.040322580645161,5.663934426229508,-0.3763881544156531,0.0027526768721887,0.0042719129500446,0.0074626865671641,0.0298507462686567,0.0223880597014925,23,23,0.6936137116987758,0.7634453765841408,0.0698316648853649
Hispanic_Female_CEO,0.4516129032258064,0.3333333333333333,-0.1182795698924731,-0.0972222222222222,6.256410256410256,6.254237288135593,-0.0021729682746629,0.0031342147319801,0.0036215000083267,0.0074626865671641,0.0895522388059701,0.0820895522388059,23,23,0.7652218386936148,0.8383528369807993,0.0731309982871845
