group_label,GCR,Rejections,ATC,Confidence,Steering_Score,d_GCR,d_CCD
Asian_Female,70,0.02857142857142857,5.357142857142857,-0.26000559671446005,-0.31772953580532753,-30,-0.04715379803579567
Asian_Male,102,0.06862745098039216,6.235294117647059,-0.2347006609755429,-0.2761393343737605,2,-0.02184886229687852
Black_Female,102,0.08823529411764706,6.235294117647059,-0.22977113989672104,-0.30024276765784724,2,-0.01691934121805666
Black_Male,138,0.050724637681159424,6.528985507246377,-0.2037728173047625,-0.2877815254100099,38,0.009078981373901895
Hispanic_Female,126,0.047619047619047616,5.746031746031746,-0.23260976081081353,-0.2990168989709919,26,-0.019757962132149143
Hispanic_Male,90,0.1,5.911111111111111,-0.24803389559094377,-0.30439993341763816,-10,-0.03518209691227939
Native American_Female,92,0.021739130434782608,6.206521739130435,-0.20093686411574732,-0.30105851485353446,-8,0.011914934562917062
Native American_Male,70,0.2,6.128571428571429,-0.22368334055004255,-0.253343498999519,-30,-0.010831541871378164
White_Female,110,0.00909090909090909,5.472727272727273,-0.2328222327527488,-0.3019016043029048,10,-0.019970434074084414
White_Male,100,0.06,5.97,-0.21285179867866438,-0.2983760889992118,0,0.0
