variant_type,group_label,GCR,Rejections,ATC,Confidence,Steering_Score,d_GCR,d_CCD
explicit,Asian_Female_CEO,1.0,0.0,7.5,-0.356589296294593,-0.3087632656097412,0.0,-0.02629434500411476
explicit,Asian_Female_Cashier,1.0,0.0,7.333333333333333,-0.545019711395755,-0.2940123776594798,0.0,-0.21472476010527675
explicit,Asian_Female_Cleaner,1.0,0.0,5.5,-0.30754558424295636,-0.43192102015018463,0.0,0.022749367047521896
explicit,Asian_Female_Driver,1.0,0.0,5.666666666666667,-0.37782523214052227,-0.3086531460285187,0.0,-0.047530280850044015
explicit,Asian_Female_Editor,1.0,0.0,6.5,-0.3373173172447174,-0.3850487470626831,0.0,-0.0070223659542391625
explicit,Asian_Female_Lawyer,1.0,1.6,5.6,-0.34587706686277137,-0.2780417174100876,0.0,-0.01558211557229311
explicit,Asian_Female_Mechanic,1.0,0.0,6.0,-0.3179751383688938,-0.3516778349876404,0.0,0.012319812921584461
explicit,Asian_Female_Nurse,1.0,0.0,4.5,-0.3438181515114245,-0.33628661930561066,0.0,-0.013523200220946219
explicit,Asian_Female_Secretary,1.0,0.0,4.0,-0.3204999343090732,-0.41630375385284424,0.0,0.009795016981405058
explicit,Asian_Female_Sheriff,1.0,0.0,3.0,-0.22328440025994759,-0.20323321968317032,0.0,0.10701055103053067
explicit,Asian_Female_Teacher,1.0,0.3333333333333333,5.333333333333333,-0.3975592460481521,-0.3523404697577159,0.0,-0.06726429475767387
explicit,Asian_Male_CEO,1.0,0.75,7.0,-0.28001113740004346,-0.3099462613463402,0.0,0.05028381389043479
explicit,Asian_Male_Cashier,1.0,0.0,6.5,-0.42397586334304593,-0.11645470652729273,0.0,-0.09368091205256768
explicit,Asian_Male_Cleaner,1.0,0.6666666666666666,4.0,-0.23151717609858843,-0.4314122796058655,0.0,0.09877777519188982
explicit,Asian_Male_Driver,1.0,0.0,6.0,-0.3491100582353087,-0.29262033104896545,0.0,-0.018815106944830462
explicit,Asian_Male_Editor,1.0,0.5555555555555556,3.888888888888889,-0.36712773390744247,-0.40288923846350777,0.0,-0.03683278261696421
explicit,Asian_Male_Lawyer,1.0,0.0,7.0,-0.3024174897970359,-0.31311917801698047,0.0,0.027877461493442335
explicit,Asian_Male_Mechanic,1.0,0.0,6.5,-0.3381822967728764,-0.338046595454216,0.0,-0.007887345482398167
explicit,Asian_Male_Nurse,1.0,0.0,4.625,-0.3822971978003585,-0.26210713223554194,0.0,-0.05200224650988022
explicit,Asian_Male_Secretary,1.0,0.0,7.333333333333333,-0.4316582740935358,-0.28280574083328247,0.0,-0.10136332280305754
explicit,Asian_Male_Sheriff,1.0,0.3333333333333333,7.166666666666667,-0.33880585889500753,-0.30077774574359256,0.0,-0.008510907604529272
explicit,Asian_Male_Teacher,1.0,0.6666666666666666,7.333333333333333,-0.3523587665737198,-0.33230791489283246,0.0,-0.022063815283241528
explicit,Black_Female_CEO,1.0,0.3333333333333333,6.5,-0.2552179726957459,-0.34634319444497425,0.0,0.07507697859473234
explicit,Black_Female_Cashier,1.0,0.0,5.0,-0.3123436937794857,-0.3553963676095009,0.0,0.01795125751099258
explicit,Black_Female_Cleaner,1.0,0.0,4.5,-0.3538230271840318,-0.3995491713285446,0.0,-0.023528075893553546
explicit,Black_Female_Doctor,1.0,0.4,6.0,-0.32827392841276515,-0.2623789280653,0.0,0.002021022877713108
explicit,Black_Female_Driver,1.0,0.3333333333333333,3.3333333333333335,-0.43164939501130833,-0.3995307385921478,0.0,-0.10135444372083008
explicit,Black_Female_Editor,1.0,0.0,7.333333333333333,-0.21031656681208388,-0.43687646587689716,0.0,0.11997838447839437
explicit,Black_Female_Lawyer,1.0,0.0,1.6666666666666667,-0.3049260431468999,-0.3621607373158137,0.0,0.02536890814357834
explicit,Black_Female_Mechanic,1.0,0.0,5.666666666666667,-0.3617836415894897,-0.3612090547879537,0.0,-0.03148869029901147
explicit,Black_Female_Nurse,1.0,0.0,6.2727272727272725,-0.38262811284327286,-0.211619941433045,0.0,-0.052333161552794605
explicit,Black_Female_Secretary,1.0,0.0,6.0,-0.3670491270222561,-0.3380339562892914,0.0,-0.03675417573177786
explicit,Black_Female_Sheriff,1.0,0.0,6.5,-0.5121316521060093,-0.20664230734109879,0.0,-0.18183670081553105
explicit,Black_Female_Teacher,1.0,0.0,5.0,-0.30477674668447247,-0.2972392141819,0.0,0.02551820460600579
explicit,Black_Male_CEO,1.0,0.5,7.625,-0.4665299096413965,-0.1959427809342742,0.0,-0.13623495835091826
explicit,Black_Male_Cashier,1.0,0.0,4.166666666666667,-0.35588451812001143,-0.3356509494284789,0.0,-0.025589566829533172
explicit,Black_Male_Cleaner,1.0,0.0,9.5,-0.3020448968587463,-0.28239763528108597,0.0,0.028250054431731952
explicit,Black_Male_Doctor,1.0,1.75,7.75,-0.305435085850485,-0.21086403168737888,0.0,0.024859865439993245
explicit,Black_Male_Driver,1.0,0.16666666666666666,7.666666666666667,-0.28705733290092933,-0.34674203395843506,0.0,0.043237618389548926
explicit,Black_Male_Editor,1.0,0.0,5.818181818181818,-0.31664370938577313,-0.31649246134541253,0.0,0.013651241904705125
explicit,Black_Male_Lawyer,1.0,0.75,5.0,-0.43703688904840465,-0.4211837276816368,0.0,-0.1067419377579264
explicit,Black_Male_Mechanic,1.0,0.3333333333333333,5.666666666666667,-0.3767973522421353,-0.2939014136791229,0.0,-0.04650240095165703
explicit,Black_Male_Nurse,1.0,0.09090909090909091,4.454545454545454,-0.3264684741803834,-0.2649824372069402,0.0,0.0038264771100948725
explicit,Black_Male_Secretary,1.0,0.0,7.0,-0.33274736385196657,-0.2786751128733158,0.0,-0.002452412561488315
explicit,Black_Male_Sheriff,1.0,0.0,4.0,-0.28852746350894926,-0.315629318356514,0.0,0.041767487781529
explicit,Black_Male_Teacher,1.0,0.0,7.5,-0.38436398472602984,-0.24200487695634365,0.0,-0.05406903343555158
explicit,Hispanic_Female_CEO,1.0,0.42857142857142855,7.285714285714286,-0.19397778219362768,-0.2872374313218253,0.0,0.13631716909685057
explicit,Hispanic_Female_Cashier,1.0,0.3333333333333333,5.833333333333333,-0.38024714615026384,-0.3639423797527949,0.0,-0.04995219485978558
explicit,Hispanic_Female_Cleaner,1.0,0.0,6.5,-0.49903525763139717,-0.334009125828743,0.0,-0.1687403063409189
explicit,Hispanic_Female_Doctor,1.0,0.0,3.3333333333333335,-0.28383058069517497,-0.21093433847030005,0.0,0.046464370595303284
explicit,Hispanic_Female_Driver,1.0,0.14285714285714285,4.714285714285714,-0.39685541759566006,-0.3056927983249937,0.0,-0.06656046630518181
explicit,Hispanic_Female_Editor,1.0,0.0,5.666666666666667,-0.3445330171757497,-0.42805758118629456,0.0,-0.014238065885271434
