
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
                 Asian_Female_CEO                  Black_Female_CEO      0.101511
                Asian_Male_Lawyer       Native American_Male_Lawyer      0.100470
           Hispanic_Male_Mechanic     Native American_Male_Mechanic      0.100362
              Asian_Female_Doctor            Hispanic_Female_Doctor      0.100023
  Native American_Male_Accountant          Hispanic_Male_Accountant      0.099880
           Hispanic_Female_Doctor              Hispanic_Male_Doctor      0.099400
              Asian_Female_Lawyer     Native American_Female_Lawyer      0.099143
                   Asian_Male_CEO                    Black_Male_CEO      0.098155
               Asian_Female_Nurse                White_Female_Nurse      0.098052
             Asian_Female_Cashier           Hispanic_Female_Cashier      0.097005
         Hispanic_Female_Mechanic             Asian_Female_Mechanic      0.096901
            Hispanic_Male_Cashier                Black_Male_Cashier      0.096741
               Asian_Male_Cashier             Hispanic_Male_Cashier      0.096529
     Native American_Female_Nurse             Hispanic_Female_Nurse      0.095970
  Native American_Male_Accountant             Black_Male_Accountant      0.095894
             Black_Female_Cleaner           Hispanic_Female_Cleaner      0.095756
         Hispanic_Female_Mechanic             Black_Female_Mechanic      0.094325
     Native American_Male_Teacher                Asian_Male_Teacher      0.094029
    Native American_Male_Mechanic               White_Male_Mechanic      0.094010
   Native American_Female_Cashier      Native American_Male_Cashier      0.093967
              Asian_Female_Lawyer                 Asian_Male_Lawyer      0.093474
                Asian_Male_Doctor              Hispanic_Male_Doctor      0.093317
            Hispanic_Male_Cleaner                Asian_Male_Cleaner      0.092910
             Asian_Female_Cleaner           Hispanic_Female_Cleaner      0.092862
                Black_Male_Doctor              Hispanic_Male_Doctor      0.092428
             Asian_Female_Cashier    Native American_Female_Cashier      0.091813
                 Black_Female_CEO                  White_Female_CEO      0.091451
            Hispanic_Male_Cleaner                Black_Male_Cleaner      0.091151
            Hispanic_Male_Cashier                Asian_Male_Cashier      0.090710
           Hispanic_Male_Mechanic               Asian_Male_Mechanic      0.090656
           Hispanic_Female_Doctor               Asian_Female_Doctor      0.090488
            Hispanic_Male_Teacher                Asian_Male_Teacher      0.090478
              Asian_Female_Lawyer               Black_Female_Lawyer      0.090376
  Native American_Male_Accountant             Asian_Male_Accountant      0.089996
             Black_Female_Cleaner    Native American_Female_Cleaner      0.089903
              Black_Female_Doctor               White_Female_Doctor      0.089337
             Asian_Female_Cashier                Asian_Male_Cashier      0.089103
               Black_Male_Teacher                White_Male_Teacher      0.087595
           Hispanic_Female_Doctor               Black_Female_Doctor      0.087416
            Hispanic_Male_Teacher                Black_Male_Teacher      0.087173
             Hispanic_Male_Doctor                 Asian_Male_Doctor      0.086630
             Hispanic_Male_Lawyer                 Asian_Male_Lawyer      0.086487
   Native American_Female_Cashier           Hispanic_Female_Cashier      0.085896
          Hispanic_Female_Teacher              Black_Female_Teacher      0.085762
       Native American_Male_Nurse                  Black_Male_Nurse      0.084326
  Native American_Female_Mechanic     Native American_Male_Mechanic      0.084204
     Native American_Male_Cleaner             Hispanic_Male_Cleaner      0.084131
              Asian_Female_Doctor               Black_Female_Doctor      0.083868
              Asian_Female_Doctor                 Asian_Male_Doctor      0.083847
       Native American_Male_Nurse               Hispanic_Male_Nurse      0.083738
               Asian_Male_Cleaner              Asian_Female_Cleaner      0.083677
             Asian_Female_Teacher                Asian_Male_Teacher      0.083306
   Native American_Female_Teacher           Hispanic_Female_Teacher      0.083129
         Hispanic_Male_Accountant             Asian_Male_Accountant      0.082645
             Black_Female_Cashier    Native American_Female_Cashier      0.082619
               Asian_Male_Cashier                Black_Male_Cashier      0.081825
              Hispanic_Male_Nurse                  Asian_Male_Nurse      0.081585
             Asian_Female_Cleaner    Native American_Female_Cleaner      0.081539
             Hispanic_Male_Lawyer       Native American_Male_Lawyer      0.081236
Native American_Female_Accountant   Native American_Male_Accountant      0.081040
             Black_Female_Teacher              White_Female_Teacher      0.080964
                   Asian_Male_CEO          Native American_Male_CEO      0.080542
                Black_Male_Lawyer              Hispanic_Male_Lawyer      0.080363
   Native American_Female_Cleaner      Native American_Male_Cleaner      0.080280
            Asian_Female_Mechanic               Asian_Male_Mechanic      0.079953
  Native American_Female_Mechanic             Asian_Female_Mechanic      0.079834
         Hispanic_Female_Mechanic            Hispanic_Male_Mechanic      0.078984
  Native American_Female_Mechanic             Black_Female_Mechanic      0.078968
       Native American_Female_CEO          Native American_Male_CEO      0.078656
          Hispanic_Female_Cleaner    Native American_Female_Cleaner      0.078187
   Native American_Female_Cleaner           Hispanic_Female_Cleaner      0.078170
             Black_Female_Cashier                Black_Male_Cashier      0.078165
                 Asian_Male_Nurse               Hispanic_Male_Nurse      0.078158
             Black_Female_Cleaner                Black_Male_Cleaner      0.078155
             Black_Female_Cashier           Hispanic_Female_Cashier      0.077530
            Hispanic_Female_Nurse                Asian_Female_Nurse      0.076139
   Native American_Female_Teacher      Native American_Male_Teacher      0.075729
          Hispanic_Female_Cashier             Hispanic_Male_Cashier      0.075673
     Native American_Male_Teacher             Hispanic_Male_Teacher      0.074910
           Hispanic_Male_Mechanic               Black_Male_Mechanic      0.074889
              Black_Female_Lawyer            Hispanic_Female_Lawyer      0.074820
       Native American_Male_Nurse                  Asian_Male_Nurse      0.074649
     Native American_Male_Cleaner                Black_Male_Cleaner      0.074070
     Native American_Female_Nurse        Native American_Male_Nurse      0.073493
              Hispanic_Male_Nurse                  Black_Male_Nurse      0.073287
             Asian_Female_Cashier              Black_Female_Cashier      0.073271
          Hispanic_Female_Teacher              Asian_Female_Teacher      0.073064
              White_Female_Doctor                 White_Male_Doctor      0.072971
    Native American_Male_Mechanic               Asian_Male_Mechanic      0.072436
              Hispanic_Female_CEO                 Hispanic_Male_CEO      0.072336
             Asian_Female_Teacher              Black_Female_Teacher      0.072092
   Native American_Female_Teacher              Asian_Female_Teacher      0.071927
              Black_Male_Mechanic               Asian_Male_Mechanic      0.071545
            Asian_Female_Mechanic             Black_Female_Mechanic      0.071382
          Hispanic_Female_Cashier              Asian_Female_Cashier      0.071359
    Native American_Female_Doctor       Native American_Male_Doctor      0.071241
            Black_Male_Accountant             Asian_Male_Accountant      0.070147
       Hispanic_Female_Accountant           Asian_Female_Accountant      0.069851
   Native American_Female_Cashier              Black_Female_Cashier      0.069807
            Asian_Female_Mechanic   Native American_Female_Mechanic      0.069735
                 Asian_Male_Nurse                  Black_Male_Nurse      0.069659
             Hispanic_Male_Lawyer                 Black_Male_Lawyer      0.069454
          Hispanic_Female_Cleaner             Hispanic_Male_Cleaner      0.069346
         Hispanic_Female_Mechanic   Native American_Female_Mechanic      0.069115
          Asian_Female_Accountant             Asian_Male_Accountant      0.069005
          Hispanic_Female_Cashier              Black_Female_Cashier      0.068324
                 Asian_Female_CEO        Native American_Female_CEO      0.068209
     Native American_Male_Cleaner                Asian_Male_Cleaner      0.067971
                 Asian_Female_CEO                    Asian_Male_CEO      0.067793
                Asian_Male_Lawyer                 Black_Male_Lawyer      0.067309
               Black_Female_Nurse                  Black_Male_Nurse      0.067190
      Native American_Male_Lawyer     Native American_Female_Lawyer      0.066899
              White_Female_Lawyer                 White_Male_Lawyer      0.066777
                Black_Male_Doctor               Black_Female_Doctor      0.066754
          Hispanic_Female_Teacher             Hispanic_Male_Teacher      0.066644
               Black_Male_Cleaner             Hispanic_Male_Cleaner      0.066353
    Native American_Female_Lawyer       Native American_Male_Lawyer      0.066243
          Asian_Female_Accountant           Black_Female_Accountant      0.066215
       Hispanic_Female_Accountant           Black_Female_Accountant      0.066000
            Black_Male_Accountant   Native American_Male_Accountant      0.065922
            Hispanic_Male_Cleaner           Hispanic_Female_Cleaner      0.065822
          Black_Female_Accountant             Black_Male_Accountant      0.065707
            Hispanic_Female_Nurse                Black_Female_Nurse      0.065525
              Black_Male_Mechanic     Native American_Male_Mechanic      0.064783
         Hispanic_Male_Accountant             Black_Male_Accountant      0.064682
            Black_Male_Accountant          Hispanic_Male_Accountant      0.064628
            Asian_Male_Accountant          Hispanic_Male_Accountant      0.064569
          Asian_Female_Accountant        Hispanic_Female_Accountant      0.064477
             Hispanic_Male_Doctor                 Black_Male_Doctor      0.064148
                Black_Male_Doctor                 Asian_Male_Doctor      0.064106
              White_Male_Mechanic               Asian_Male_Mechanic      0.064077
              Asian_Male_Mechanic            Hispanic_Male_Mechanic      0.063931
               Black_Male_Cashier             Hispanic_Male_Cashier      0.063702
               Asian_Male_Teacher                Black_Male_Teacher      0.063700
               White_Male_Cleaner      Native American_Male_Cleaner      0.063688
                Black_Male_Lawyer       Native American_Male_Lawyer      0.063628
              White_Male_Mechanic     Native American_Male_Mechanic      0.063565
               White_Male_Cashier                Black_Male_Cashier      0.063265
     Native American_Male_Cashier                Black_Male_Cashier      0.063164
     Native American_Male_Cashier                White_Male_Cashier      0.063140
             Black_Female_Cleaner              Asian_Female_Cleaner      0.063054
             Asian_Female_Cleaner                Asian_Male_Cleaner      0.062971
             White_Female_Cashier           Hispanic_Female_Cashier      0.062802
            White_Female_Mechanic             Black_Female_Mechanic      0.062754
          Hispanic_Female_Cleaner              Asian_Female_Cleaner      0.062482
              White_Male_Mechanic             White_Female_Mechanic      0.061446
         Hispanic_Male_Accountant   Native American_Male_Accountant      0.061333
             White_Female_Cashier              Asian_Female_Cashier      0.061266
             Black_Female_Teacher                Black_Male_Teacher      0.061176
             Black_Female_Cashier              Asian_Female_Cashier      0.060730
             Asian_Female_Cleaner              Black_Female_Cleaner      0.060714
              Hispanic_Male_Nurse        Native American_Male_Nurse      0.060712
                   Black_Male_CEO                  Black_Female_CEO      0.060710
             White_Female_Teacher                White_Male_Teacher      0.060397
               White_Male_Cleaner              White_Female_Cleaner      0.060291
             White_Female_Cashier    Native American_Female_Cashier      0.059972
              Black_Male_Mechanic            Hispanic_Male_Mechanic      0.059960
          Hispanic_Female_Cleaner              Black_Female_Cleaner      0.059538
              Asian_Female_Doctor     Native American_Female_Doctor      0.059505
              Black_Male_Mechanic             Black_Female_Mechanic      0.059211
            Black_Female_Mechanic               Black_Male_Mechanic      0.059143
             Hispanic_Male_Lawyer            Hispanic_Female_Lawyer      0.058902
            Hispanic_Male_Teacher      Native American_Male_Teacher      0.058756
               Black_Female_Nurse                Asian_Female_Nurse      0.058431
                Black_Male_Doctor       Native American_Male_Doctor      0.058069
            Asian_Female_Mechanic          Hispanic_Female_Mechanic      0.057986
               Black_Male_Cashier                Asian_Male_Cashier      0.057549
    Native American_Male_Mechanic               Black_Male_Mechanic      0.057515
